env_step,mean_ep_return,mean_ep_score,mean_ep_length,mean_merges,mean_loss,epsilon,lr
5000,2171.36,nan,205.1,,,0.9525,3.00e-04
10000,2197.77,nan,205.1,,10.597263,0.9050,3.00e-04
15000,2260.52,nan,207.4,,10.815628,0.8575,3.00e-04
20000,2233.98,nan,205.7,,11.919392,0.8100,2.99e-04
25000,2264.01,nan,207.4,,12.069583,0.7625,2.99e-04
30000,2323.79,nan,209.9,,12.115594,0.7150,2.98e-04
35000,2297.49,nan,209.5,,11.292096,0.6675,2.97e-04
40000,2262.79,nan,207.9,,11.124574,0.6200,2.96e-04
45000,2340.26,nan,212.0,,10.957945,0.5725,2.95e-04
50000,2279.66,nan,209.1,,11.092297,0.5250,2.94e-04
55000,2366.49,nan,214.1,,10.853098,0.4775,2.93e-04
60000,2414.86,nan,216.5,,10.674409,0.4300,2.91e-04
65000,2426.84,nan,216.1,,10.607107,0.3825,2.90e-04
70000,2448.44,nan,217.3,,10.587953,0.3350,2.88e-04
75000,2446.47,nan,216.4,,10.322301,0.2875,2.86e-04
80000,2496.04,nan,218.5,,10.110217,0.2400,2.84e-04
85000,2520.73,nan,220.0,,10.502293,0.1925,2.82e-04
90000,2484.93,nan,218.5,,10.431184,0.1450,2.79e-04
95000,2512.13,nan,219.9,,10.095624,0.0975,2.77e-04
100000,2517.99,nan,220.2,,9.669356,0.0500,2.74e-04
105000,2572.06,nan,223.1,,9.533950,0.0500,2.72e-04
110000,2705.96,nan,230.5,,9.834868,0.0500,2.69e-04
115000,2785.80,nan,234.4,,10.090498,0.0500,2.66e-04
120000,2805.95,nan,235.3,,9.842181,0.0500,2.63e-04
125000,2828.16,nan,236.0,,9.725255,0.0500,2.60e-04
130000,2731.81,nan,230.2,,9.709054,0.0500,2.57e-04
135000,2642.54,nan,224.8,,9.798359,0.0500,2.53e-04
140000,2684.65,nan,227.2,,9.848169,0.0500,2.50e-04
145000,2725.07,nan,229.0,,9.510408,0.0500,2.46e-04
150000,2703.50,nan,228.6,,9.678347,0.0500,2.43e-04
155000,2783.16,nan,233.2,,9.587209,0.0500,2.39e-04
160000,2811.61,nan,235.1,,9.589189,0.0500,2.35e-04
165000,2841.76,nan,236.6,,9.470108,0.0500,2.31e-04
170000,2857.19,nan,237.8,,9.587860,0.0500,2.28e-04
175000,2850.39,nan,236.9,,9.464643,0.0500,2.23e-04
180000,2821.12,nan,235.5,,9.687216,0.0500,2.19e-04
185000,2895.47,nan,239.4,,9.526037,0.0500,2.15e-04
190000,2919.97,nan,241.9,,9.504185,0.0500,2.11e-04
195000,2909.17,nan,240.1,,9.733702,0.0500,2.07e-04
200000,2862.49,nan,236.4,,9.713040,0.0500,2.02e-04
205000,2854.79,nan,235.8,,9.786503,0.0500,1.98e-04
210000,2821.32,nan,233.6,,9.838898,0.0500,1.94e-04
215000,2841.80,nan,234.5,,9.952437,0.0500,1.89e-04
220000,2837.97,nan,234.4,,9.836686,0.0500,1.85e-04
225000,2893.43,nan,238.0,,9.817270,0.0500,1.80e-04
230000,2958.32,nan,241.8,,9.780680,0.0500,1.76e-04
235000,2967.86,nan,242.6,,9.936266,0.0500,1.71e-04
240000,2963.15,nan,242.4,,9.817146,0.0500,1.66e-04
245000,2999.14,nan,244.2,,9.782200,0.0500,1.62e-04
250000,3058.71,nan,247.9,,9.975389,0.0500,1.57e-04
255000,3042.73,nan,247.0,,9.913289,0.0500,1.53e-04
260000,3039.01,nan,245.7,,9.776627,0.0500,1.48e-04
265000,2994.56,nan,243.8,,9.794419,0.0500,1.44e-04
270000,3106.44,nan,250.6,,9.996650,0.0500,1.39e-04
275000,3061.48,nan,247.5,,10.074178,0.0500,1.34e-04
280000,3087.78,nan,248.8,,10.274702,0.0500,1.30e-04
285000,3134.83,nan,252.2,,10.100119,0.0500,1.25e-04
290000,3165.02,nan,253.6,,9.995569,0.0500,1.21e-04
295000,3058.01,nan,246.8,,10.140379,0.0500,1.16e-04
300000,3117.89,nan,250.2,,10.406594,0.0500,1.12e-04
