env_step,mean_ep_return,mean_ep_score,mean_ep_length
5000,2256.82,2256.82,201.8
10000,2204.92,2204.92,201.1
15000,2226.15,2226.15,203.3
20000,2232.49,2232.49,204.0
25000,2227.70,2227.70,204.4
30000,2238.66,2238.66,205.9
35000,2249.60,2249.60,205.7
40000,2205.12,2205.12,204.1
45000,2162.45,2162.45,202.7
50000,2173.08,2173.08,203.2
55000,2172.02,2172.02,203.0
60000,2196.23,2196.23,203.7
65000,2238.31,2238.31,204.4
70000,2196.97,2196.97,201.6
75000,2189.96,2189.96,201.9
80000,2173.43,2173.43,200.7
85000,2192.76,2192.76,202.2
90000,2173.95,2173.95,202.1
95000,2193.15,2193.15,202.8
100000,2207.48,2207.48,204.2
105000,2189.86,2189.86,203.5
110000,2244.76,2244.76,206.2
115000,2271.24,2271.24,207.5
120000,2303.88,2303.88,208.7
125000,2327.21,2327.21,209.7
130000,2321.90,2321.90,210.3
135000,2279.23,2279.23,207.8
140000,2263.42,2263.42,206.6
145000,2293.86,2293.86,208.3
150000,2299.00,2299.00,207.6
155000,2309.25,2309.25,208.0
160000,2329.38,2329.38,209.6
165000,2327.19,2327.19,209.1
170000,2295.56,2295.56,208.3
175000,2257.03,2257.03,206.6
180000,2286.94,2286.94,207.2
185000,2266.44,2266.44,206.4
190000,2270.98,2270.98,205.7
195000,2298.54,2298.54,207.6
200000,2249.36,2249.36,204.9
205000,2203.32,2203.32,202.8
210000,2198.47,2198.47,203.4
215000,2232.85,2232.85,205.7
220000,2238.52,2238.52,206.9
225000,2311.27,2311.27,210.1
230000,2324.77,2324.77,211.3
235000,2271.82,2271.82,208.1
240000,2264.83,2264.83,207.1
245000,2219.69,2219.69,205.1
250000,2217.26,2217.26,204.0
255000,2251.73,2251.73,205.6
260000,2234.06,2234.06,205.2
265000,2268.33,2268.33,207.2
270000,2261.50,2261.50,206.9
275000,2281.73,2281.73,207.9
280000,2288.69,2288.69,207.5
285000,2289.64,2289.64,206.7
290000,2243.11,2243.11,203.8
295000,2261.05,2261.05,204.9
300000,2265.96,2265.96,205.2
303104,2298.38,2298.38,207.4
